Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
reputation,0,66,31307,0,637,47775,18,2689
reputation,0,17,13681,0,2506,141022,19,1048
reputation,0,17,13681,0,2506,141022,15,1048
reputation,0,189,32311,0,2468,429427,13,1155
reputation,0,348,25678,0,601,1153938,10,1440
reputation,0,1,19866,0,634,31751,15,1095
reputation,0,5,24507,1,61,275501,20,364
reputation,0,1022,47168,0,7845,13744,12,3339
reputation,0,3624,19668,2,2290,70345,20,2877
reputation,0,272,63153,0,2547,16511,15,4808
reputation,0,572,55945,0,2228,37947,19,3541
reputation,0,46,48375,1,1526,11898,17,2398
reputation,0,46,48375,1,1526,11898,16,2398
reputation,0,595,22540,0,2471,15371,18,1276
reputation,0,595,22540,0,2471,15371,19,1276
reputation,0,595,22540,1,2471,15371,17,1276
reputation,0,32,24921,0,2970,33051,15,3241
reputation,0,198,37327,0,1900,38522,13,2872
reputation,2,198,37327,0,1900,38522,18,2872
reputation,1,198,37327,0,1900,38522,19,2872
reputation,0,198,37327,0,1900,38522,7,2872
reputation,0,198,37327,0,1900,38522,13,2872
reputation,0,198,37327,0,1900,38522,15,2872
reputation,1,198,37327,1,1900,38522,19,2872
reputation,0,198,37327,0,1900,38522,18,2872
reputation,4,198,37327,2,1900,38522,20,2872
reputation,1,198,37327,-1,1900,38522,10,2872
reputation,0,198,37327,0,1900,38522,12,2872
reputation,2,198,37327,-1,1900,38522,18,2872
reputation,0,198,37327,0,1900,38522,16,2872
reputation,1,198,37327,0,1900,38522,14,2872
reputation,0,198,37327,0,1900,38522,6,2872
reputation,2,198,37327,0,1900,38522,18,2872
reputation,1,198,37327,-1,1900,38522,19,2872
reputation,2,198,37327,0,1900,38522,15,2872
reputation,0,198,37327,0,1900,38522,17,2872
reputation,0,796,41176,0,1793,410636,16,3818
reputation,0,778,13466,2,920,789657,13,4388
reputation,3,484,28663,0,1577,21061,19,2387
reputation,2,484,28663,0,1577,21061,13,2387
reputation,0,484,28663,2,1577,21061,17,2387
reputation,0,194,49892,0,492,191463,18,2449
reputation,1,194,49892,1,492,191463,12,2449
reputation,1,1,55042,1,5546,1006010,12,2630
reputation,0,18,13543,0,1866,3189,17,702
reputation,2,32,13154,0,2591,846476,17,762
reputation,0,32,13154,0,2591,846476,11,762
reputation,0,32,13154,0,2591,846476,12,762
reputation,0,32,13154,0,2591,846476,8,762
reputation,0,32,13154,0,2591,846476,19,762
reputation,2,18,22239,1,1893,509706,19,1497
reputation,0,72,20390,0,505,178757,13,1317
reputation,0,45,29561,0,273,289666,13,951
reputation,2,760,23454,0,834,978756,18,3974
reputation,2,17,32947,0,579,84539,17,2284
reputation,3,322,28934,0,1294,31667,10,2418
reputation,0,322,28934,2,1294,31667,20,2418
reputation,0,322,28934,1,1294,31667,10,2418
reputation,0,97,235072,0,927,6068,6,10965
reputation,0,97,235072,1,927,6068,11,10965
reputation,0,97,235072,0,927,6068,11,10965
reputation,0,97,235072,1,927,6068,18,10965
reputation,0,97,235072,1,927,6068,17,10965
reputation,0,97,235072,0,927,6068,19,10965
reputation,0,97,235072,0,927,6068,10,10965
reputation,0,759,20302,0,1361,3436942,19,2485
reputation,4,1648,279695,0,1406,507674,18,22360
reputation,2,267,12746,0,1905,2541,20,3832
reputation,4,290,23645,0,3889,156755,16,5226
reputation,4,11,17348,0,373,26107,17,813
reputation,0,812,38113,0,1737,699224,16,3852
reputation,0,2549,18807,0,3154,1084416,10,4475
reputation,0,29,16110,1,1120,28901,19,530
reputation,0,28,21375,0,2064,15825,19,1289
reputation,1,623,18981,0,787,1822164,20,2806
